648.76,-31874
649.57,-31912
650.35,-31894
651.17,-31913
651.94,-31996
652.76,-31979
653.58,-32003
654.36,-32019
655.16,-31964
655.98,-31942
657.01,-31776
657.97,-31787
658.98,-31813
659.77,-31873
660.57,-31936
661.36,-31943
662.17,-31955
662.98,-31958
663.77,-32009
664.58,-32023
665.37,-32024
665.98,-32037
666.78,-32065
667.36,-32061
668.16,-32028
668.97,-31926
670.18,-31541
671.37,-31743
672,-31996
672.77,-32044
673.59,-32000
674.37,-31975
675.38,-31797
676.37,-31788
677.16,-31865
677.97,-31945
678.77,-31960
679.61,-32005
680.39,-32065
680.98,-32083
681.76,-32018
682.57,-31942
683.77,-31547
684.76,-31709
685.77,-31886
686.61,-32002
687.18,-32026
687.98,-31962
688.97,-31824
690.17,-31545
691.38,-31680
692.16,-31828
693.16,-31901
693.99,-31943
694.76,-31957
695.57,-32014
696.4,-31988
697.17,-31883
698.16,-31728
699.39,-31581
700.58,-31678
701.38,-31809
702.38,-31875
703.18,-31965
703.98,-31973
704.79,-31966
705.58,-31890
706.56,-31732
707.57,-31742
708.57,-31859
709.39,-31981
710.16,-31951
710.97,-31950
711.98,-31778
712.98,-31744
713.98,-31844
714.98,-31825
715.8,-31813
716.78,-31803
717.79,-31893
718.58,-31935
719.38,-31915
720.21,-31914
720.97,-31913
721.99,-31942
722.78,-31893
723.59,-31879
724.79,-31738
725.81,-31775
726.57,-31820
727.58,-31867
728.39,-31888
729.2,-31957
729.98,-31928
730.98,-31864
732,-31827
732.79,-31874
733.81,-31890
734.57,-31801
735.79,-31740
736.79,-31730
737.58,-31828
738.61,-31833
739.63,-31845
740.38,-31882
741.19,-32007
741.99,-31976
742.6,-32049
743.39,-32012
744.61,-31575
745.61,-31726
746.61,-31862
747.39,-31916
748.21,-31954
749.04,-31980
749.81,-31977
750.63,-31930
751.39,-31951
752.39,-31860
753.2,-31956
754.01,-32031
754.63,-32060
755.39,-32079
756,-32111
756.8,-32024
757.8,-31762
758.8,-31717
759.61,-31896
760.38,-31969
761.21,-31986
762.04,-31978
762.8,-31992
763.59,-31964
764.43,-31969
765.21,-31952
766.01,-32007
766.79,-32002
767.62,-32037
768.2,-32021
769.02,-32035
769.8,-31993
770.63,-31920
771.8,-31569
772.78,-31723
773.79,-31887
774.61,-31951
775.41,-31982
776.2,-31989
777.02,-31902
777.79,-31940
778.61,-32015
779.42,-31915
780.19,-31929
781.01,-31934
782.02,-31836
782.81,-31900
783.79,-31919
784.66,-31974
785.47,-31966
786.27,-31971
787.01,-32022
787.6,-31961
788.42,-31957
789.41,-31913
790.21,-31989
791.01,-31929
791.78,-31941
792.6,-31974
793.42,-31948
794.2,-31955
795.01,-31986
795.8,-32005
796.64,-32031
797.24,-32044
798.01,-32052
798.6,-32052
